title,neighborhood,address,city,state,zipcode,typeofhistoricresource,datebuilt/architect,earliestbuildingdate,datedestroyed,rennovationyears,OriginalArchitect,ArchitectInfo,Photo,Rights,0,col_id,location,longitude,lattitude,status,,,,,,,,,,
Church of the Advocate,North,1801 W. Diamond St.,Philadelphia,PA,19121,church,"1891, 1897,  Charles M. Burns",0,0,0,,https://billypenn.com/wp-content/uploads/2019/10/churchoftheadvocate-02crop-1024x576.jpg,,,055,dream055,"West Diamond Street, Philadelphia, PA, USA",39.987156,-75.175417,doubt,,,,,,,,,,
North Penn Baptist Church,North,2419-2425 N. 27th St.,Philadelphia,PA,19132,church,"ca. 1911, Charles Wells",1911,0,0,,,,,056,dream056,"North 27th Street, Philadelphia, PA, USA",39.985261,-75.177145,doubt,,,,,,,,,,
Greater Exodus Baptist Church / Our Lady of Blessed Sacrament / Central Presbyterian Church,North,708-714 N. Broad St.,Philadelphia,PA,19130,church,"ca. 1877, Collins Autenreith",1877,0,0,,https://1.bp.blogspot.com/-B9RqF2W50Sk/XQSjxqw1jrI/AAAAAAAAouQ/wJHHBWrYZTUd6sE0d1nuhOI5OSmRe5BDgCLcBGAs/s640/MediaStream%2B%25281%2529.jpg,,,057,dream057,"North Broad Street, Philadelphia, PA, USA",40.010581,-75.150898,doubt,,,,,,,,,,
Uptown Theater,North,2240 N. Broad St.,Philadelphia,PA,19132,theater,"1927, 1929, E. Magiziner, H. Magiziner",1927,0,0,,https://cdn10.phillymag.com/wp-content/uploads/sites/3/2021/09/Uptown-theater-lede.jpg,,,058,dream058,"2240-48 N Broad St, Philadelphia, PA, USA",39.987403,-75.15652,success,,,,,,,,,,
Peter A. B. Widener Mausoleum (Laurel Hill Cemetery),North,3822 Ridge Ave.,Philadelphia,PA,19132,mausoleum,"mausoleum ca. 1915, Horace Trumbauer (Julian Abele)",1915,0,0,,,,,059,dream059,"Ridge Avenue, Philadelphia, PA, USA",39.96086,-75.156768,doubt,,,,,,,,,,
Wayland Temple Baptist Church / Columbia Avenue Methodist Church,North,2500 Cecil B. Moore Ave.,Philadelphia,PA,19121,church,"1888, Oscar Frotscher; alterations, 1916, George Savage",1888,0,1916,,,,,060,dream060,"2500 Cecil B Moore Avenue, Philadelphia, PA, USA",39.980753,-75.175932,success,,,,,,,,,,
B.M. Oakley Memorial Temple / Trinity Reformed Church,North,1535 N. 7th St.,Philadelphia,PA,19122,church,"1869, Samuel Sloan",1869,0,0,,,,,061,dream061,"1535 North 7th Street, Philadelphia, PA, USA",39.974826,-75.147168,success,,,,,,,,,,
Zion Baptist Church / St. Paul Reformed Church / Trinity Reformed Church,North,3600 N. Broad St.,Philadelphia,PA,19140,church,"1904, Stearns & Castor; alterations, 1914, Stearns & Castor; alterations, 1973, Eshbach, Glass, Kale & Associates",1904,0,1914;1973,,,,,062,dream062,"3600 N Broad St, Philadelphia, PA, USA",40.007963,-75.152024,success,,,,,,,,,,
Freedom Theatre,North,1346 N. Broad St.,Philadelphia,PA,19121,theater,"1853, 1865; Stephen D. Button",0,0,0,,,,,063,dream063,"North Broad Street, Philadelphia, PA, USA",40.010581,-75.150898,doubt,,,,,,,,,,
St. Paul Baptist Church / First Reformed Church Building,North,1000 Wallace St.,Philadelphia,PA,19123,church,"before 1888; alterations, 1916, 1920, 1929, Stuckert & Co.",1888,0,1916;1920;1929,,,,,064,dream064,"Wallace Street, Philadelphia, PA, USA",39.963493,-75.217236,doubt,,,,,,,,,,
Berean Presbyterian Church Site / Berean Institute,North,1906-1926 S. College Ave.,Philadelphia,PA,19121,church,"1884; 1888, T. P. Chandler",0,0,0,,,,,065,dream065,"South College Avenue, Philadelphia, PA, USA",39.972627,-75.173802,doubt,,,,,,,,,,
Berean Presbyterian Church / Bethlehem Presbyterian Church,North,2101 N. Broad St.,Philadelphia,PA,19122,church,"1888, T. P. Chandler; alterations, 1909, 1910, 1915, J. Franklin Stuckert",1888,0,1909;1910;1915,,,,,066,dream066,"2101 North Broad Street, Philadelphia, PA, USA",39.98487,-75.156197,success,,,,,,,,,,
Universal Negro Improvement Association (UNIA),North,1609-11 Cecil B. Moore Ave.,Philadelphia,PA,19121,,"ca. 1894, Thomas Lonsdale",1894,0,0,,,,,067,dream067,"1609-11 Cecil B Moore Ave, Philadelphia, PA, USA",39.979375,-75.161489,success,,,,,,,,,,
Girard College,North,2101 S. College Ave.,Philadelphia,PA,19121,school,"1833, Thomas Ustick Walter; 1968",1833,0,1968,,https://media.phillyvoice.com/media/images/01-083115_GirardCollege_Carroll.2e16d0ba.fill-735x490.jpg,,,068,dream068,"South College Avenue, Philadelphia, PA, USA",39.972627,-75.173802,doubt,,,,,,,,,,
Union A.M.E. Church / Hedding M. E. Church / Calvary Baptist Church,North,655 N. 16th St.,Philadelphia,PA,19130,church,"before 1859; alterations, 1902, Watson & Huckel; alterations, 1906, C. Davis",1859,0,1902;1906,,,,,069,dream069,"655-59 N 16th St, Philadelphia, PA, USA",39.966666,-75.163569,success,,,,,,,,,,
Unity Mission / Charles T. Ellis House,North,1430 N. Broad St.,Philadelphia,PA,19121,dwelling,"ca. 1891, William Decker",1891,0,0,,,,,070,dream070,"1430 N Broad St, Philadelphia, PA, USA",39.975493,-75.15912,success,,,,,,,,,,
Metropolitan Opera House,North,848-860 N. Broad St.,Philadelphia,PA,19130,"opera house, church","1908, William McElfatrick",1908,1908,0,,,,,071,dream071,"North Broad Street, Philadelphia, PA, USA",40.010581,-75.150898,doubt,,,,,,,,,,
Shibe Park / Connie Mack Stadium,North,2701 N. 21st St.,Philadelphia,PA,19132,stadium,"1908-1909, William Steele & Sons Co.; numerous alterations; demolished 1976",1908,1909,0,,,,,072,dream072,"North 21st Street, Philadelphia, PA, USA",39.983256,-75.168608,doubt,,,,,,,,,,
Divine Lorraine Hotel,North,699 N. Broad St.,Philadelphia,PA,19123,"hotel, apartment building","1894, Willis G. Hale",1894,0,0,,,,,073,dream073,"699 N Broad St, Philadelphia, PA, USA",39.966699,-75.160017,success,,,,,,,,,,
Bethany A.M.E. Church,Northeast,8820 Ashton Rd.,Philadelphia,PA,19136,church,"early 19th century; Elias Chase, builder",1800,0,0,,,,,074,dream074,"8820 Ashton Rd, Philadelphia, PA, USA",40.058183,-75.027363,success,,,,,,,,,,
Germantown Historical Society / Fromberger House,Northwest,5501-5505 Germantown Ave.,Philadelphia,PA,19144,"dwelling, young women's christian association, church, office building","ca. 1795-96; enlarged 1917; renovated after fire, 1930; rehabbed, 1952-54, G. Edwin",1796,0,1917;1930;1952-1954,,https://www.preservationalliance.com/images/aia/5501Germantown.jpg,Preservation Alliance for Greater Philadelphia,,075,dream075,"Germantown Avenue, Philadelphia, PA, USA",39.973054,-75.141599,doubt,,,,,,,,,,
Northern Home for Children,Northwest,5301 Ridge Ave.,Philadelphia,PA,19128,,"alterations, 1927, Horace Trumbauer (Julian Abele)",0,0,1927,,,,,076,dream076,"5301 Ridge Ave, Philadelphia, PA, USA",40.021044,-75.208578,success,,,,,,,,,,
Grace Baptist Church Building #1,Northwest,34-36 E. Sharpnack St.,Philadelphia,PA,19119,church,"1908, Jacob Naschold",1908,0,0,,https://www.preservationalliance.com/images/aia/34-6ESharpnack.jpg,Preservation Alliance for Greater Philadelphia,,077,dream077,"34-36 E Sharpnack St, Philadelphia, PA, USA",40.049813,-75.183061,success,,,,,,,,,,
Coulter Street School site / Daniel L. Keyser School / Wissahickon Boys and Girls Club,Northwest,328 W. Coulter St.,Philadelphia,PA,19144,school,"ca. 1887-1899, Joseph Anshutz",1887,0,0,,https://www.preservationalliance.com/images/aia/328WCoulter.jpg,Preservation Alliance for Greater Philadelphia,,078,dream078,"328 W Coulter St, Philadelphia, PA, USA",40.026712,-75.176742,success,,,,,,,,,,
Galilee Baptist Church Building,Northwest,457 Roxborough Ave.,Philadelphia,PA,19128,church,"1900, Kennedy & Kelsey",1900,0,0,,,,,079,dream079,"457 Roxborough Ave, Philadelphia, PA, USA",40.028745,-75.213417,success,,,,,,,,,,
Thomas Meehan Public School,Northwest,5347-5353 Pulaski Ave.,Philadelphia,PA,19144,school,"1901, Lloyd Titus",1901,0,0,,https://www.preservationalliance.com/images/aia/5347Pulaski.jpg,Preservation Alliance for Greater Philadelphia,,080,dream080,"Pulaski Avenue, Philadelphia, PA, USA",40.032722,-75.182942,doubt,,,,,,,,,,
Grace Baptist Church Building #2,Northwest,25 W. Johnson St.,Philadelphia,PA,19144,church,"late 1960s, Mansell, McGettigan & Fugate",1960,0,0,,https://www.preservationalliance.com/images/aia/25WJohnson.jpg,Preservation Alliance for Greater Philadelphia,,081,dream081,"West Johnson Street, Philadelphia, PA, USA",40.037799,-75.190539,doubt,,,,,,,,,,
Canaan Baptist Church Building / West Side Presbyterian Church Building,Northwest,5430 Pulaski Ave.,Philadelphia,PA,19144,church,"1891, Mantle Fielding",1891,0,0,,https://www.preservationalliance.com/images/aia/5430Pulaski.jpg,Preservation Alliance for Greater Philadelphia,,082,dream082,"5430 Pulaski Avenue, Philadelphia, PA, USA",40.028438,-75.177459,success,,,,,,,,,,
Janes Methodist Church Building,Northwest,528 E. Haines St.,Philadelphia,PA,19144,church,"ca. 1898 or 1911, Rankin and Kellogg",1898,0,0,,https://www.preservationalliance.com/images/aia/528EHaines.jpg,Preservation Alliance for Greater Philadelphia,,083,dream083,"528 E Haines St, Philadelphia, PA, USA",40.04493,-75.169789,success,,,,,,,,,,
Germantown YMCA,Northwest,5722 Greene St.,Philadelphia,PA,19144,young men's Christian association,"1928, Thomas, Martin & Kirkpatrick",1928,0,0,,https://www.preservationalliance.com/images/aia/5722Greene.jpg,Preservation Alliance for Greater Philadelphia,,084,dream084,"5722-28 Greene St, Philadelphia, PA, USA",40.034007,-75.177817,success,,,,,,,,,,
Bethel A.M.E. Church (Germantown) Building #2 / Rialto Theater Building / Tulpehocken Theater Building,Northwest,6153 Germantown Ave.,Philadelphia,PA,19144,church,"1914, architect unknown; alterations, William H. Lee, c. 1936; alterations c.1976",1914,0,0,,https://www.preservationalliance.com/images/aia/6153Germantown.jpg,Preservation Alliance for Greater Philadelphia,,085,dream085,"6153 Germantown Avenue, Philadelphia, PA, USA",40.042148,-75.179724,success,,,,,,,,,,
Bainbridge Club / Hotel Brotherhood USA,South,1523-1529 Bainbridge St.,Philadelphia,PA,19146,clubhouse,"ca. 1919, A. Borzner",1919,0,0,,,,,086,dream086,"Bainbridge Street, Philadelphia, PA, USA",39.942257,-75.161512,doubt,,,,,,,,,,
Gloria Dei Church / Old Swedes' Episcopal Church,South,916 S. Swanson St.,Philadelphia,PA,19147,church,"1677-1698, Andrew Rudman; alterations, 1703-1705, ca. 1733, 1845; alterations, 1896, George Champlin Mason, Jr.",1677,0,1703-1705;1733;1845;1846,,,,,087,dream087,"South Swanson Street, Philadelphia, PA, USA",39.916921,-75.146962,doubt,,,,,,,,,,
Elks Lodge,South,739-43 S. 16th St.,Philadelphia,PA,19146,,"ca. 1928, C. Adams",1928,0,0,,,,,088,dream088,"739-43 S 16th St, Philadelphia, PA, USA",39.942034,-75.168896,success,,,,,,,,,,
